Mã BĐS,Địa chỉ,Mã ĐVHC,Diện tích,Phòng ngủ,Phòng tắm,Pháp lý,Ngày đăng,Giá nhà
21979338," Lương Định Của, Phường Bình Khánh, Quận 2 (TP. Thủ Đức), TPHCM",769,79.0,2,2,2,11/03/2023,2236000000
22027807," Ung Văn Khiêm, Phường 25, Quận Bình Thạnh, TPHCM",765,69.0,2,1,2,11/03/2023,1850000000
21962894," Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, TPHCM",766,90.0,2,2,2,11/03/2023,1880000000
22049746," Quốc Lộ 1A, Phường Tân Tạo, Quận Bình Tân, TPHCM",777,65.2,2,2,2,11/03/2023,1670000000
21979327," Liên Phường, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), TPHCM",769,79.0,2,2,2,11/03/2023,1527000000
22004002," Đường số 62, Phường Bình Trưng Đông, Quận 2 (TP. Thủ Đức), TPHCM",769,80.0,2,2,2,11/03/2023,1840000000
21962420," Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, TPHCM",778,79.0,2,2,2,11/03/2023,2157000000
22052424," Cô Giang, Phường Cô Giang, Quận 1, TPHCM",760,50.6,2,1,2,11/03/2023,2110000000
21979366," Tân Hòa Đông, Phường 13, Quận 6, TPHCM",775,64.0,2,2,2,11/03/2023,1659000000
21481982," Lương Định Của, Phường Bình Khánh, Quận 2 (TP. Thủ Đức), TPHCM",769,76.0,2,2,1,11/03/2023,3700000000
21962116," Tản Đà, Phường 11, Quận 5, TPHCM",774,105.0,3,2,2,11/03/2023,2520000000
22049814," Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2 (TP. Thủ Đức), TPHCM",769,90.5,3,3,2,11/03/2023,2360000000
21979419," Hậu Giang, Phường 11, Quận 6, TPHCM",775,86.0,2,2,2,11/03/2023,1837000000
22028060," Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, TPHCM",766,67.0,2,2,2,11/03/2023,1785000000
21962405," Phan Văn Khỏe, Phường 2, Quận 6, TPHCM",775,84.0,2,2,2,11/03/2023,2159000000
21979409," Bến Vân Đồn, Phường 1, Quận 4, TPHCM",773,50.6,1,1,2,11/03/2023,1378000000
22028102," Nguyễn Thị Tú, Phường Bình Hưng Hòa B, Quận Bình Tân, TPHCM",777,68.0,2,2,2,11/03/2023,1550000000
21964286," Phạm văn hai, Phường 3, Quận Tân Bình, TPHCM",766,70.0,2,2,2,11/03/2023,2375000000
22054070," Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, TPHCM",761,65.0,2,2,2,11/03/2023,1385000000
21979453," Bông Sao, Phường 5, Quận 8, TPHCM",776,68.0,2,2,2,11/03/2023,1645000000
22028121," Trương Đăng Quế, Phường 3, Quận Gò Vấp, TPHCM",764,70.0,2,2,0,11/03/2023,1650000000
21962558," Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, TPHCM",766,75.0,2,2,2,11/03/2023,1753000000
22053995," Đào Trí, Phường Phú Thuận, Quận 7, TPHCM",778,60.0,2,1,2,11/03/2023,1385000000
21979044," Đường D1, Phường 25, Quận Bình Thạnh, TPHCM",765,45.0,1,1,2,11/03/2023,1472000000
22028139," Đường số 20, Phường Hiệp Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), TPHCM",769,71.0,2,2,2,11/03/2023,1730000000
21962739," Trường Chinh, Phường Tân Thới Nhất, Quận 12, TPHCM",761,64.0,2,2,2,11/03/2023,1590000000
21738782," Nguyễn Văn Cừ, Phường Bồ Đề, Quận Long Biên, Hà Nội",4,46.0,2,1,2,11/03/2023,620000000
22054046," Hồng Hà, Phường 9, Quận Phú Nhuận, TPHCM",768,72.0,2,2,2,11/03/2023,2155000000
22027371," Nguyễn Văn Luông, Phường 12, Quận 6, TPHCM",775,80.0,2,2,0,11/03/2023,1880000000
21962083," Phạm Văn Chiêu, Phường 14, Quận Gò Vấp, TPHCM",764,64.0,2,2,2,11/03/2023,1376000000
22033214," Hàng Bông, Phường Hàng Bông, Quận Hoàn Kiếm, Hà Nội",2,48.0,2,2,2,11/03/2023,700000000
21978550," Lê Văn Khương, Phường Hiệp Thành, Quận 12, TPHCM",761,73.0,2,2,2,11/03/2023,1550000000
22052964," Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, TPHCM",778,124.0,3,2,2,11/03/2023,5650000000
22027396," Đường số 44, Phường 16, Quận 8, TPHCM",776,65.0,2,2,2,11/03/2023,1490000000
21962460," Bùi Hữu Nghĩa, Phường 2, Quận Bình Thạnh, TPHCM",765,81.0,2,2,2,11/03/2023,1490000000
22033218," Nguyễn Văn Cừ, Phường Bồ Đề, Quận Long Biên, Hà Nội",4,50.0,2,2,2,11/03/2023,650000000
22053879," Lê Đại Hành, Phường 15, Quận 11, TPHCM",772,80.7,2,2,2,11/03/2023,2430000000
21979785," Tân Chánh Hiệp 21, Phường Tân Chánh Hiệp, Quận 12, TPHCM",761,69.0,2,2,2,11/03/2023,1473000000
22027434," Phạm Văn Nghị, Phường Tân Phong, Quận 7, TPHCM",778,71.0,2,2,2,11/03/2023,1760000000
21965207," Lê Văn Khương, Phường Thới An, Quận 12, TPHCM",761,90.3,3,2,2,11/03/2023,1510000000
22015517," Trần Bình, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",19,50.0,2,2,2,11/03/2023,650000000
21979746," Nguyễn Văn Trỗi, Phường 11, Quận Phú Nhuận, TPHCM",768,69.0,2,2,2,11/03/2023,2475000000
22027409," Kinh Dương Vương, Phường An Lạc, Quận Bình Tân, TPHCM",777,75.0,3,2,2,11/03/2023,1940000000
21962665," Cao Lỗ, Phường 4, Quận 8, TPHCM",776,73.0,2,2,2,11/03/2023,1720000000
22018053," Nguyễn Trãi, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội",9,46.0,2,2,2,11/03/2023,681000000
22053174," Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, TPHCM",778,114.0,2,3,2,11/03/2023,4500000000
22027534," Đường 3 Tháng 2, Phường 12, Quận 10, TPHCM",771,87.0,2,2,2,11/03/2023,2770000000
21961961," Lê Đại Hành, Phường 15, Quận 11, TPHCM",772,61.0,2,2,2,11/03/2023,2247000000
22015479," Đại Cồ Việt, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội",7,50.0,2,2,2,11/03/2023,700000000
22027484," Điện Biên Phủ, Phường 25, Quận Bình Thạnh, TPHCM",765,75.0,2,2,2,11/03/2023,2055000000
21965898," Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, TPHCM",767,53.0,2,1,2,11/03/2023,1890000000
21737183," Hoàng Quốc Việt, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",21,46.0,2,1,2,11/03/2023,620000000
22003568," Thoại Ngọc Hầu, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",767,75.0,2,2,2,11/03/2023,1895000000
21966111," Kinh Dương Vương, Phường An Lạc A, Quận Bình Tân, TPHCM",777,80.0,2,2,2,11/03/2023,1928000000
21767804," Phạm Văn Đồng, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",21,48.0,2,1,2,11/03/2023,606000000
21966165," Quốc Lộ 1A, Phường Trung Mỹ Tây, Quận 12, TPHCM",761,82.0,2,2,2,11/03/2023,1295000000
21738759," Đại Cồ Việt, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội",7,45.0,2,1,2,11/03/2023,650000000
21961991," Mai Chí Thọ, Phường Thủ Thiêm, Quận 2 (TP. Thủ Đức), TPHCM",769,88.0,2,2,2,11/03/2023,1778000000
21737093," Đại Cồ Việt, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội",7,46.0,2,1,2,11/03/2023,620000000
21962023," Lý Chính Thắng, Phường 8 (Phường Võ Thị Sáu), Quận 3, TPHCM",770,58.0,2,1,2,11/03/2023,2863000000
22015957," Xuân La, Phường Xuân La, Quận Tây Hồ, Hà Nội",3,48.0,2,2,2,11/03/2023,650000000
21962042," Nguyễn Khoái, Phường 1, Quận 4, TPHCM",773,70.0,2,2,2,11/03/2023,2839000000
22018084," Hồ Tùng Mậu, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",5,50.0,2,1,2,11/03/2023,700000000
22018073," Bạch Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",7,50.0,2,2,2,11/03/2023,750000000
21737106," Nguyễn Trãi, Phường Thượng Đình, Quận Thanh Xuân, Hà Nội",9,46.0,2,1,2,11/03/2023,620000000
22015493," Giải Phóng, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội",8,50.0,2,2,2,11/03/2023,680000000
21735542," Nguyễn Chí Thanh, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội",1,45.0,2,1,2,11/03/2023,620000000
22033227," Lạc Trung, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội",7,50.0,2,2,2,11/03/2023,700000000
22018081," Phạm Hùng, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",19,50.0,2,2,1,11/03/2023,700000000
22018074," Xuân La, Phường Xuân La, Quận Tây Hồ, Hà Nội",3,50.0,2,2,2,11/03/2023,700000000
22018085," Phạm Hùng, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",19,50.0,2,2,2,11/03/2023,690000000
22018082," Yên Hòa, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội",5,50.0,2,2,2,11/03/2023,700000000
22026473," Lò Đúc, Phường Đống Mác, Quận Hai Bà Trưng, Hà Nội",7,50.0,2,2,2,11/03/2023,660000000
22015904," Trương Định, Phường Tương Mai, Quận Hoàng Mai, Hà Nội",8,52.0,2,2,2,11/03/2023,750000000
21992798," Hồng Hà, Phường 9, Quận Phú Nhuận, TPHCM",768,83.0,2,1,3,11/03/2023,5900000000
22015907," Khâm Thiên, Phường Khâm Thiên, Quận Đống Đa, Hà Nội",6,50.0,2,2,2,11/03/2023,700000000
22015928," Lạc Long Quân, Phường Bưởi, Quận Tây Hồ, Hà Nội",3,50.0,2,2,1,11/03/2023,650000000
22015935," Thụy Khuê, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",3,50.0,2,2,2,11/03/2023,700000000
22015503," Phạm Ngọc Thạch, Phường Kim Liên, Quận Đống Đa, Hà Nội",6,48.0,2,2,1,11/03/2023,650000000
22016006," Trương Định, Phường Tương Mai, Quận Hoàng Mai, Hà Nội",8,50.0,2,2,2,11/03/2023,700000000
22015924," Phạm Văn Đồng, Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, Hà Nội",21,50.0,2,2,2,11/03/2023,700000000
22015480," Đại Cồ Việt, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội",7,48.0,2,2,2,11/03/2023,649999000
22018070," Đại Cồ Việt, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội",7,50.0,2,2,1,11/03/2023,690000000
22018067," Phạm Văn Đồng, Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, Hà Nội",21,50.0,2,2,2,11/03/2023,650000000
22018069," Nguyễn Trãi, Phường Thượng Đình, Quận Thanh Xuân, Hà Nội",9,50.0,2,2,2,11/03/2023,800000000
22018066," Ô Chợ Dừa, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",6,50.0,2,2,2,11/03/2023,700000000
21737140," Phạm Ngọc Thạch, Phường Quang Trung, Quận Đống Đa, Hà Nội",6,46.0,2,1,2,11/03/2023,630000000
21737177," Trường Chinh, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",9,46.0,2,1,2,11/03/2023,610000000
21901111," Minh Khai, Phường Mai Động, Quận Hoàng Mai, Hà Nội",8,48.0,2,1,2,11/03/2023,620000000
21901119," Giải Phóng, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội",8,48.0,2,1,2,11/03/2023,609000000
22015481," Giải Phóng, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội",8,50.0,2,2,1,11/03/2023,660000000
22015488," Phạm Hùng, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",19,50.0,2,2,2,11/03/2023,650000000
21959181," Âu Cơ, Phường Tân Sơn Nhì, Quận Tân Phú, TPHCM",767,92.0,3,2,4,11/03/2023,3660000000
22050934," Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, TPHCM",765,90.0,2,2,2,11/03/2023,4900000000
22050901," Hồng Hà, Phường 2, Quận Tân Bình, TPHCM",766,75.0,2,2,4,11/03/2023,3800000000
22050942," Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, TPHCM",765,90.0,2,2,2,11/03/2023,4900000000
22050973," Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, TPHCM",765,92.0,2,2,2,11/03/2023,4900000000
22050990," Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, TPHCM",765,92.0,2,2,2,11/03/2023,5500000000
21566880," Phan Văn Trị, Phường 10, Quận Gò Vấp, TPHCM",764,75.0,2,2,2,11/03/2023,3700000000
21873759," Trần Trọng Cung, Phường Tân Thuận Đông, Quận 7, TPHCM",778,54.0,1,1,2,11/03/2023,2000000000
22018447," Nguyên Hồng, Phường 1, Quận Gò Vấp, TPHCM",764,79.0,2,2,0,11/03/2023,4099000000
21625382," Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, TPHCM",778,39.0,1,1,4,11/03/2023,1850000000
21566841," Nguyễn Văn Công, Phường 3, Quận Gò Vấp, TPHCM",764,69.0,2,2,2,11/03/2023,3100000000
21629963," Nguyễn Thị Thập, Phường Tân Hưng, Quận 7, TPHCM",778,69.0,2,2,4,11/03/2023,3100000000
21629979," Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, TPHCM",778,76.0,2,2,4,11/03/2023,3900000000
21566859," Trương Đăng Quế, Phường 3, Quận Gò Vấp, TPHCM",764,80.0,2,2,4,11/03/2023,3400000000
21887165," Trần Trọng Cung, Phường Tân Thuận Đông, Quận 7, TPHCM",778,68.0,2,2,2,11/03/2023,2350000000
21913272," Trần Trọng Cung, Phường Tân Thuận Đông, Quận 7, TPHCM",778,54.0,1,1,2,11/03/2023,1995000000
22051459," Trường Chinh, Phường Tân Thới Nhất, Quận 12, TPHCM",761,60.0,2,2,2,11/03/2023,2150000000
21889064," Trần Trọng Cung, Phường Tân Thuận Đông, Quận 7, TPHCM",778,67.0,1,1,2,11/03/2023,2010000000
22007461," Hoàng Sa, Phường 12, Quận 3, TPHCM",770,52.0,1,1,2,11/03/2023,2900000000
22053974," Phú Thuận, Phường Phú Thuận, Quận 7, TPHCM",778,74.0,2,2,2,11/03/2023,2135000000
22053968," Âu Cơ, Phường Tân Thành, Quận Tân Phú, TPHCM",767,94.0,3,2,2,11/03/2023,1370000000
21589914," Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, TPHCM",778,39.0,1,1,4,11/03/2023,1750000000
21859102," Đường số 35, Phường Cát Lái, Quận 2 (TP. Thủ Đức), TPHCM",769,65.0,2,2,2,11/03/2023,1550000000
21859162," Hoàng Quốc Việt, Phường Phú Thuận, Quận 7, TPHCM",778,112.0,3,2,2,11/03/2023,3350000000
21859178," Thủy Lợi, Phường Phước Long A, Quận 9 (TP. Thủ Đức), TPHCM",769,69.0,2,2,2,11/03/2023,1720000000
21859195," Trịnh Đình Thảo, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",767,65.0,2,2,2,11/03/2023,1670000000
21859227," Nguyễn Xí, Phường 26, Quận Bình Thạnh, TPHCM",765,71.0,2,2,2,11/03/2023,1890000000
21859259," Nguyễn Lương Bằng, Phường Phú Mỹ, Quận 7, TPHCM",778,70.0,2,2,2,11/03/2023,2280000000
21859572," Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, TPHCM",786,74.0,2,2,2,11/03/2023,1770000000
21724695," Nguyên Hồng, Phường 1, Quận Gò Vấp, TPHCM",764,75.0,2,2,2,11/03/2023,3600000000
21458857," Đường D4, Phường Tân Hưng, Quận 7, TPHCM",778,73.0,2,1,4,11/03/2023,2400000000
21992959," Vườn Lài, Phường Phú Thọ Hòa, Quận Tân Phú, TPHCM",767,86.0,3,2,2,11/03/2023,2060000000
21992966," Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, TPHCM",766,75.0,2,2,2,11/03/2023,1680000000
21993219," Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, TPHCM",778,86.0,3,3,2,11/03/2023,2300000000
21993562," Đường số 20, Phường Hiệp Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), TPHCM",769,72.0,2,2,0,11/03/2023,1890000000
21993996," Ngô Tất Tố, Phường 21, Quận Bình Thạnh, TPHCM",765,70.0,1,1,2,11/03/2023,2800000000
21994041," Ngô Tất Tố, Phường 19, Quận Bình Thạnh, TPHCM",765,60.0,2,2,2,11/03/2023,1680000000
21994333," Lũy Bán Bích, Phường Phú Thạnh, Quận Tân Phú, TPHCM",767,86.0,2,2,2,11/03/2023,1680000000
21994346," Bến Vân Đồn, Phường 1, Quận 4, TPHCM",773,90.0,2,2,2,11/03/2023,3160000000
21994366," Phú Thuận, Phường Phú Thuận, Quận 7, TPHCM",778,70.0,2,2,2,11/03/2023,2550000000
21994378," Nguyễn Duy Trinh, Phường Bình Trưng Tây, Quận 2 (TP. Thủ Đức), TPHCM",769,45.0,1,1,2,11/03/2023,1365000000
21994383," Hoàng Quốc Việt, Phường Phú Thuận, Quận 7, TPHCM",778,65.0,2,2,2,11/03/2023,2350000000
21994425," Mai Chí Thọ, Phường Bình Khánh, Quận 2 (TP. Thủ Đức), TPHCM",769,102.0,3,2,2,11/03/2023,4325000000
21994434," Tạ Quang Bửu, Phường 6, Quận 8, TPHCM",776,92.0,2,2,2,11/03/2023,2350000000
21994440," Đường D6, Phường Bình Chiểu, Quận Thủ Đức (TP. Thủ Đức), TPHCM",769,60.0,2,2,2,11/03/2023,1680000000
21995407," Tạ Quang Bửu, Phường 6, Quận 8, TPHCM",776,75.0,2,2,2,11/03/2023,2235000000
21996026," Lũy Bán Bích, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",767,64.0,2,2,2,11/03/2023,1786000000
21860969," Nguyễn Văn Trỗi, Phường 11, Quận Phú Nhuận, TPHCM",768,82.0,2,2,2,11/03/2023,3560000000
21996037," Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, TPHCM",767,65.0,2,2,2,11/03/2023,1830000000
21860974," Âu Cơ, Phường Tân Thành, Quận Tân Phú, TPHCM",767,107.0,3,2,2,11/03/2023,3250000000
21996048," Xô Viết Nghệ Tĩnh, Phường 21, Quận Bình Thạnh, TPHCM",765,93.0,2,2,2,11/03/2023,2310000000
21861061," Mai Chí Thọ, Phường An Phú, Quận 2 (TP. Thủ Đức), TPHCM",769,75.0,2,2,2,11/03/2023,3480000000
21996054," Lê Đại Hành, Phường 15, Quận 11, TPHCM",772,90.0,2,2,2,11/03/2023,3550000000
21861069," Hồng Hà, Phường 2, Quận Tân Bình, TPHCM",766,56.0,1,1,2,11/03/2023,1720000000
21996088," Tôn Đản, Phường 13, Quận 4, TPHCM",773,78.0,2,2,2,11/03/2023,2450000000
21861180," Đỗ Xuân Hợp, Phường Phước Long B, Quận 9 (TP. Thủ Đức), TPHCM",769,66.0,2,2,2,11/03/2023,1570000000
21993221," Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, TPHCM",765,60.0,1,1,2,11/03/2023,1760000000
21861277," Linh Đông, Phường Linh Trung, Quận Thủ Đức (TP. Thủ Đức), TPHCM",769,78.0,2,2,2,11/03/2023,1860000000
21993575," Đường số 10, Phường Hiệp Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), TPHCM",769,98.0,3,2,2,11/03/2023,2980000000
21861296," Đỗ Xuân Hợp, Phường Phước Long B, Quận 9 (TP. Thủ Đức), TPHCM",769,52.0,2,1,2,11/03/2023,1168000000
21900363," Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, TPHCM",778,76.0,2,2,3,11/03/2023,4000000000
21993582," Cao Đạt, Phường 1, Quận 5, TPHCM",774,90.0,3,2,2,11/03/2023,1950000000
21861374," Hoàng Quốc Việt, Phường Phú Thuận, Quận 7, TPHCM",778,90.0,3,2,2,11/03/2023,3200000000
21994031," Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, TPHCM",765,90.0,2,2,2,11/03/2023,2250000000
21861402," Phổ Quang, Phường 2, Quận Tân Bình, TPHCM",766,130.0,3,3,2,11/03/2023,3890000000
21859899," Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, TPHCM",765,85.0,2,2,2,11/03/2023,3820000000
21458861," Trần Trọng Cung, Phường Tân Thuận Đông, Quận 7, TPHCM",778,67.0,2,2,2,11/03/2023,2500000000
21994146," Đào Trí, Phường Phú Thuận, Quận 7, TPHCM",778,128.0,3,2,2,11/03/2023,2865000000
21861411," Đường D6, Phường Bình Chiểu, Quận Thủ Đức (TP. Thủ Đức), TPHCM",769,70.0,2,2,2,11/03/2023,1770000000
21900399," Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, TPHCM",778,109.0,3,2,3,11/03/2023,5400000000
21994162," Nguyễn Xí, Phường 26, Quận Bình Thạnh, TPHCM",765,72.0,2,2,2,11/03/2023,1870000000
21861421," Đường D1, Phường 25, Quận Bình Thạnh, TPHCM",765,70.0,2,2,2,11/03/2023,2765000000
21994176," Trương Đăng Quế, Phường 3, Quận Gò Vấp, TPHCM",764,95.0,3,2,2,11/03/2023,2765000000
21861442," Tô Hiến Thành, Phường 14, Quận 10, TPHCM",771,78.0,2,2,2,11/03/2023,4160000000
21994313," Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, TPHCM",767,65.0,2,2,2,11/03/2023,1980000000
21861489," Bạch Đằng, Phường 2, Quận Tân Bình, TPHCM",766,90.0,2,2,2,11/03/2023,3120000000
21994403," Hậu Giang, Phường 11, Quận 6, TPHCM",775,97.0,2,2,2,11/03/2023,2860000000
21861509," Đường 3 Tháng 2, Phường 12, Quận 10, TPHCM",771,90.0,2,2,2,11/03/2023,5240000000
21994408," Cộng Hòa, Phường 12, Quận Tân Bình, TPHCM",766,74.0,2,2,2,11/03/2023,2130000000
22049025," Lái Thiêu, Phường Lái Thiêu, Thành Phố Thuận An, Bình Dương",725,52.0,2,1,4,11/03/2023,1250000000
21861519," Âu Cơ, Phường Tân Thành, Quận Tân Phú, TPHCM",767,77.0,2,2,2,11/03/2023,1586000000
21994413," Bến Vân Đồn, Phường 12, Quận 4, TPHCM",773,82.0,2,2,2,11/03/2023,3650000000
22049087," Vĩnh Phú 38, Phường Vĩnh Phú, Thành Phố Thuận An, Bình Dương",725,53.0,2,1,4,11/03/2023,1250000000
21862154," Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2 (TP. Thủ Đức), TPHCM",769,75.0,2,2,2,11/03/2023,3520000000
21994897," Tản Đà, Phường 11, Quận 5, TPHCM",774,65.0,2,2,2,11/03/2023,1670000000
21995388," Cao Lỗ, Phường 4, Quận 8, TPHCM",776,74.0,2,2,2,11/03/2023,1814000000
21992899," Đỗ Xuân Hợp, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), TPHCM",769,68.0,2,2,2,11/03/2023,1750000000
21996066," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",767,78.0,2,2,2,11/03/2023,2785000000
21890392," Huỳnh Tấn Phát, Phường Bình Thuận, Quận 7, TPHCM",778,70.0,2,2,2,11/03/2023,2700000000
21996067," Tân Hòa Đông, Phường 13, Quận 6, TPHCM",775,65.0,2,2,2,11/03/2023,2045000000
21861008," Võ Văn Kiệt, Phường 3, Quận 6, TPHCM",775,96.0,3,2,2,11/03/2023,2850000000
21996046," Lạc Long Quân, Phường 9, Quận Tân Bình, TPHCM",766,57.0,2,1,2,11/03/2023,1585000000
21861829," Xô Viết Nghệ Tĩnh, Phường 25, Quận Bình Thạnh, TPHCM",765,68.0,2,2,2,11/03/2023,2240000000
21859303," Hoàng Quốc Việt, Phường Phú Thuận, Quận 7, TPHCM",778,65.0,2,2,2,11/03/2023,2350000000
21993664," Phú Thuận, Phường Tân Phú, Quận 7, TPHCM",778,147.0,3,3,2,11/03/2023,3050000000
21861494," Phan Văn Trị, Phường 10, Quận Gò Vấp, TPHCM",764,78.0,2,2,2,11/03/2023,4360000000
21859553," Mai Chí Thọ, Phường Thủ Thiêm, Quận 2 (TP. Thủ Đức), TPHCM",769,64.0,2,2,2,11/03/2023,2330000000
21995391," Võ Văn Kiệt, Phường 16, Quận 8, TPHCM",776,96.5,2,2,2,11/03/2023,1950000000
21859676," Vĩnh Lộc, Phường Bình Hưng Hòa B, Quận Bình Tân, TPHCM",777,68.0,2,2,2,11/03/2023,1362000000
21996069," Bến Vân Đồn, Phường 1, Quận 4, TPHCM",773,87.0,2,2,2,11/03/2023,2120000000
21859759," Bến Vân Đồn, Phường 1, Quận 4, TPHCM",773,81.0,3,2,2,11/03/2023,3870000000
21463045," Huỳnh Tấn Phát, Phường Bình Thuận, Quận 7, TPHCM",778,73.0,2,2,2,11/03/2023,2600000000
21996080," Ung Văn Khiêm, Phường 25, Quận Bình Thạnh, TPHCM",765,81.0,2,2,2,11/03/2023,1835000000
21974063," Âu Cơ, Phường Tân Sơn Nhì, Quận Tân Phú, TPHCM",767,68.0,2,2,4,11/03/2023,2700000000
