,Mã BĐS,Địa chỉ,Diện tích,Phòng ngủ,Phòng tắm,Pháp lý,Ngày đăng,Giá nhà
26,22020659," Nguyễn Cơ Thạch, Phường An Lợi Đông, Quận 2 (TP. Thủ Đức), TPHCM",88.0,2,2,2,20/03/2023,9500000000
27,21953719," Trường Chinh, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",50.0,2,2,2,20/03/2023,605000000
28,21999433," Tôn Dật Tiên, Phường Tân Phú, Quận 7, TPHCM",80.0,2,2,2,20/03/2023,3800000000
29,21848331," Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, TPHCM",82.0,2,2,4,20/03/2023,6350000000
30,21409974," Giáp Nhất, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",45.0,2,1,0,20/03/2023,990000000
31,21953724," Đại Cồ Việt, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội",50.0,2,2,2,20/03/2023,612000000
32,21999420," Tôn Dật Tiên, Phường Tân Phú, Quận 7, TPHCM",77.0,2,2,2,20/03/2023,3600000000
33,21519076," Đường D4, Phường Tân Hưng, Quận 7, TPHCM",113.7,3,2,4,20/03/2023,3300000000
34,20693257," Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, TPHCM",65.0,2,2,4,20/03/2023,2750000000
35,21407920," Trường Chinh, Phường Khương Thượng, Quận Đống Đa, Hà Nội",45.0,2,1,2,20/03/2023,780000000
36,21848264," Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, TPHCM",82.0,2,2,4,20/03/2023,5900000000
37,21953727," Chùa Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội",50.0,2,2,2,18/03/2023,613000000
38,22039653," An Dương Vương, Phường An Lạc, Quận Bình Tân, TPHCM",95.0,3,2,2,20/03/2023,2350000000
39,20693233," Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, TPHCM",91.0,3,2,4,20/03/2023,3200000000
40,21840179," Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, TPHCM",84.0,2,2,4,20/03/2023,6200000000
41,21404169," Tôn Thất Tùng, Phường Khương Thượng, Quận Đống Đa, Hà Nội",45.0,2,1,1,20/03/2023,800000000
42,21953731," Khâm Thiên, Phường Khâm Thiên, Quận Đống Đa, Hà Nội",50.0,2,2,2,20/03/2023,615000000
43,22064375," Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, TPHCM",82.0,2,2,2,20/03/2023,5600000000
44,21851089," Mậu Lương, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",105.0,3,3,2,20/03/2023,2700000000
54,21953727," Chùa Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội",50.0,2,2,2,20/03/2023,613000000
62,21402043," Hồ Tùng Mậu, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",55.0,2,1,1,20/03/2023,800000000
63,21832667," Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, TPHCM",52.0,1,1,4,20/03/2023,4200000000
64,21982783," Mai Chí Thọ, Phường Thủ Thiêm, Quận 2 (TP. Thủ Đức), TPHCM",114.0,3,2,4,20/03/2023,9000000000
65,21953736," Trần Bình, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",48.0,2,2,2,20/03/2023,603000000
66,21998623," Nguyễn Văn Linh, Phường Tân Phong, Quận 7, TPHCM",135.0,3,2,2,20/03/2023,5500000000
67,21832715," Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, TPHCM",111.0,3,2,4,20/03/2023,9200000000
68,21352833," Nguyễn Trãi, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",33.0,1,1,2,20/03/2023,720000000
69,21982763," Mai Chí Thọ, Phường Thủ Thiêm, Quận 2 (TP. Thủ Đức), TPHCM",88.0,2,2,4,20/03/2023,6500000000
70,21955129," Giang Văn Minh, Phường Đội Cấn, Quận Ba Đình, Hà Nội",50.0,2,2,2,20/03/2023,609000000
71,21998616," Nguyễn Văn Linh, Phường Tân Phong, Quận 7, TPHCM",115.0,3,2,2,18/03/2023,4600000000
72,21965672," Tôn Dật Tiên, Phường Tân Phú, Quận 7, TPHCM",71.0,2,2,2,20/03/2023,3550000000
73,21310185," Hoàng Hoa Thám, Phường Ngọc Hà, Quận Ba Đình, Hà Nội",50.0,2,1,2,20/03/2023,999999000
74,21955136," Phạm Văn Đồng, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",50.0,2,2,2,20/03/2023,605000000
75,21965627," Phạm Văn Nghị, Phường Tân Phong, Quận 7, TPHCM",91.0,3,2,2,20/03/2023,3400000000
76,22066150," Nguyễn Khoái, Phường 1, Quận 4, TPHCM",50.0,1,1,2,20/03/2023,3000000000
77,21433472," Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, TPHCM",76.0,2,2,2,20/03/2023,3650000000
78,20686115," Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, TPHCM",65.0,2,2,4,20/03/2023,3000000000
79,21285530," Hoàng Hoa Thám, Phường Ngọc Hà, Quận Ba Đình, Hà Nội",50.0,2,1,2,20/03/2023,980000000
80,21478439," Nguyễn Thị Thập, Phường Tân Hưng, Quận 7, TPHCM",82.0,2,2,2,20/03/2023,3500000000
81,21955141," Trích Sài, Phường Bưởi, Quận Tây Hồ, Hà Nội",50.0,2,2,2,20/03/2023,607000000
82,22044190," Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, TPHCM",124.0,3,3,2,20/03/2023,5650000000
83,20684687," Trịnh Đình Thảo, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",69.0,2,2,4,20/03/2023,2200000000
84,21256473," Lạc Long Quân, Phường Bưởi, Quận Tây Hồ, Hà Nội",35.0,1,1,2,20/03/2023,600000000
85,21955150," Kim Ngưu, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội",50.0,2,2,2,20/03/2023,608000000
86,21256431," Hoàng Hoa Thám, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",50.0,2,1,2,20/03/2023,880000000
87,21964806," Khương Trung, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",53.0,3,2,2,20/03/2023,613000000
88,21237322," Ngọc Khánh, Phường Giảng Võ, Quận Ba Đình, Hà Nội",45.0,2,1,2,20/03/2023,780000000
89,21967521," Mai Chí Thọ, Phường Thủ Thiêm, Quận 2 (TP. Thủ Đức), TPHCM",88.0,2,2,4,20/03/2023,6500000000
90,21964807," Định Công, Phường Định Công, Quận Hoàng Mai, Hà Nội",55.0,3,2,2,20/03/2023,616000000
91,21965680," Phạm Văn Nghị, Phường Tân Phong, Quận 7, TPHCM",70.0,2,2,2,20/03/2023,2700000000
92,22039883," Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, TPHCM",99.0,2,2,2,20/03/2023,4800000000
93,21427583," Đường D4, Phường Tân Hưng, Quận 7, TPHCM",113.0,3,2,4,20/03/2023,3000000000
94,21237252," Hoàng Hoa Thám, Phường Bưởi, Quận Tây Hồ, Hà Nội",35.0,5,7,2,20/03/2023,680000000
95,22026560," Lạc Long Quân, Phường Bưởi, Quận Tây Hồ, Hà Nội",55.0,2,2,2,20/03/2023,630000000
96,21965643," Nguyễn Văn Linh, Phường Tân Phong, Quận 7, TPHCM",135.0,3,2,2,20/03/2023,5400000000
97,21237218," Trường Chinh, Phường Khương Thượng, Quận Đống Đa, Hà Nội",35.0,1,1,2,18/03/2023,680000000
98,22026562," Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội",55.0,2,2,2,20/03/2023,635000000
99,21241657," Hoàng Hoa Thám, Phường Bưởi, Quận Tây Hồ, Hà Nội",45.0,2,1,2,20/03/2023,780000000
100,21946556," Mai Chí Thọ, Phường Thủ Thiêm, Quận 2 (TP. Thủ Đức), TPHCM",120.0,3,2,4,20/03/2023,9500000000
101,21468780," Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, TPHCM",99.0,2,2,4,20/03/2023,4000000000
102,21261909," Văn Cao, Phường Liễu Giai, Quận Ba Đình, Hà Nội",45.0,2,1,2,18/03/2023,780000000
103,22066006," Hậu Giang, Phường 11, Quận 6, TPHCM",102.0,2,2,2,20/03/2023,4350000000
104,21263860," Trích Sài, Phường Bưởi, Quận Tây Hồ, Hà Nội",35.0,1,1,2,20/03/2023,600000000
105,21935440," Mai Chí Thọ, Phường Thủ Thiêm, Quận 2 (TP. Thủ Đức), TPHCM",88.0,2,2,4,20/03/2023,7000000000
106,21270685," Tam Khương, Phường Khương Thượng, Quận Đống Đa, Hà Nội",32.0,1,1,2,20/03/2023,600000000
107,21965638," Nguyễn Văn Linh, Phường Tân Phong, Quận 7, TPHCM",70.0,2,2,2,20/03/2023,2800000000
108,21328694," Hoàng Hoa Thám, Phường Ngọc Hà, Quận Ba Đình, Hà Nội",36.0,1,1,2,20/03/2023,680000000
109,21406893," Giải Phóng, Phường Phương Mai, Quận Đống Đa, Hà Nội",50.0,2,1,2,20/03/2023,890000000
110,22064290," Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, TPHCM",100.0,3,3,2,20/03/2023,4500000000
111,21695471," Đường Láng, Phường Thịnh Quang, Quận Đống Đa, Hà Nội",45.0,2,1,2,20/03/2023,600000000
112,22068534," Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, TPHCM",63.0,1,1,2,20/03/2023,4000000000
113,22068548," Nguyễn Lương Bằng, Phường Phú Mỹ, Quận 7, TPHCM",94.0,3,2,2,20/03/2023,4500000000
114,21936481," Nguyễn Thị Định, Phường An Phú, Quận 2 (TP. Thủ Đức), TPHCM",101.0,3,2,2,20/03/2023,6100000000
115,22011655," Đường D1, Phường 25, Quận Bình Thạnh, TPHCM",70.0,2,2,2,20/03/2023,4450000000
116,21925099," Nguyễn Thị Định, Phường An Phú, Quận 2 (TP. Thủ Đức), TPHCM",70.0,2,2,2,20/03/2023,4700000000
117,21459400," Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, TPHCM",99.0,2,2,2,20/03/2023,4050000000
119,21686854," Đường D4, Phường Tân Hưng, Quận 7, TPHCM",113.0,3,2,0,20/03/2023,3350000000
123,20672809," Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, TPHCM",88.0,2,2,2,20/03/2023,2500000000
124,22036250," Phạm Văn Đồng, Phường Linh Tây, Quận Thủ Đức (TP. Thủ Đức), TPHCM",57.0,2,2,4,20/03/2023,2600000000
125,21982998," Mai Chí Thọ, Phường Thủ Thiêm, Quận 2 (TP. Thủ Đức), TPHCM",88.0,2,2,2,20/03/2023,8500000000
126,21729698," Đỗ Nhuận, Phường Xuân Tảo, Quận Bắc Từ Liêm, Hà Nội",50.0,2,1,1,20/03/2023,620000000
127,21697106," Đình Thôn, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",50.0,2,1,1,20/03/2023,570000000
128,22018544," Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, TPHCM",124.0,3,2,2,20/03/2023,3050000000
129,21408546," Khương Thượng, Phường Khương Thượng, Quận Đống Đa, Hà Nội",45.0,2,1,1,20/03/2023,650000000
130,21358500," Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",54.0,3,2,1,20/03/2023,690000000
131,21352925," Cự Lộc, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",54.0,3,2,1,20/03/2023,750000000
132,21344481," Trích Sài, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",43.0,2,1,1,20/03/2023,770000000
133,22026469," Minh Khai, Phường Mai Động, Quận Hoàng Mai, Hà Nội",50.0,2,2,2,20/03/2023,650000000
134,21983615," Nguyễn Cơ Thạch, Phường An Lợi Đông, Quận 2 (TP. Thủ Đức), TPHCM",88.0,2,2,2,20/03/2023,8000000000
135,21344475," Lạc Long Quân, Phường Bưởi, Quận Tây Hồ, Hà Nội",56.0,2,1,1,20/03/2023,850000000
136,22026459," Lò Đúc, Phường Đống Mác, Quận Hai Bà Trưng, Hà Nội",50.0,2,2,2,20/03/2023,700000000
137,21341436," Võng Thị, Phường Bưởi, Quận Tây Hồ, Hà Nội",35.0,1,1,1,20/03/2023,690000000
138,22069594," Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, TPHCM",56.0,1,1,2,20/03/2023,2800000000
139,22026456," Phạm Văn Đồng, Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, Hà Nội",50.0,2,2,2,20/03/2023,699999000
140,21314331," Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội",43.0,2,1,0,20/03/2023,770000000
141,22018085," Phạm Hùng, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",50.0,2,2,2,20/03/2023,690000000
142,21313237," Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội",44.0,2,1,1,20/03/2023,770000000
143,22018072," Minh Khai, Phường Mai Động, Quận Hoàng Mai, Hà Nội",50.0,2,2,2,20/03/2023,750000000
144,21234525," Hoàng Diệu, Phường Cống Vị, Quận Ba Đình, Hà Nội",44.0,2,1,1,20/03/2023,940000000
145,22050074," Đường 70A, Phường Xuân Phương, Quận Nam Từ Liêm, Hà Nội",57.0,2,1,2,20/03/2023,1800000000
146,20981875," Phạm Văn Nghị, Phường Tân Phong, Quận 7, TPHCM",74.0,2,2,2,20/03/2023,3100000000
147,22015949," Mễ Trì, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",50.0,2,2,2,20/03/2023,690000000
148,21234521," Chùa Bộc, Phường Trung Tự, Quận Đống Đa, Hà Nội",33.0,2,1,1,20/03/2023,670000000
149,22019251," Trần Trọng Cung, Phường Tân Thuận Đông, Quận 7, TPHCM",82.0,2,2,2,20/03/2023,2750000000
150,22050047," Nguyễn Cơ Thạch, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",60.0,2,2,1,20/03/2023,2200000000
151,21881186," Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, TPHCM",94.0,2,2,2,20/03/2023,6800000000
152,22015941," Phạm Văn Đồng, Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, Hà Nội",48.0,2,2,2,20/03/2023,700000000
153,21234515," Xã Đàn, Phường Nam Đồng, Quận Đống Đa, Hà Nội",44.0,2,2,1,20/03/2023,660000000
154,22050052," Nguyễn Cơ Thạch, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",60.0,2,2,1,20/03/2023,2200000000
155,22054902," Đường D1, Phường 25, Quận Bình Thạnh, TPHCM",70.0,2,1,2,20/03/2023,4499000000
156,22019235," Nguyễn Lương Bằng, Phường Phú Mỹ, Quận 7, TPHCM",55.0,1,1,4,20/03/2023,3550000000
157,22018074," Xuân La, Phường Xuân La, Quận Tây Hồ, Hà Nội",50.0,2,2,2,20/03/2023,700000000
158,21967526," Mai Chí Thọ, Phường Thủ Thiêm, Quận 2 (TP. Thủ Đức), TPHCM",114.0,3,2,4,20/03/2023,9500000000
159,21230173," Liễu Giai, Phường Ngọc Hà, Quận Ba Đình, Hà Nội",32.0,1,1,1,20/03/2023,690000000
160,22046240," Nguyễn Cơ Thạch, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",63.0,2,1,2,20/03/2023,2150000000
161,22018065," Nguyễn Chí Thanh, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội",50.0,2,2,2,20/03/2023,650000000
162,21220675," Hoàng Hoa Thám, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",50.0,2,1,1,20/03/2023,880000000
163,22050094," Nguyễn Cơ Thạch, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",110.0,3,2,2,20/03/2023,3450000000
164,22016722," Nguyễn Văn Tưởng, Phường Tân Phú, Quận 7, TPHCM",91.0,2,2,4,20/03/2023,5300000000
165,22018062," Thụy Khuê, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",50.0,2,2,1,20/03/2023,650000000
166,21213096," Xuân Đỉnh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",51.0,2,1,1,20/03/2023,589999000
167,22043914," Lưu Hữu Phước, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội",90.0,3,2,1,20/03/2023,2550000000
168,22018060," Định Công, Phường Định Công, Quận Hoàng Mai, Hà Nội",50.0,2,2,2,20/03/2023,800000000
169,21212485," Hoàng Hoa Thám, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",46.0,2,1,1,20/03/2023,660000000
170,22039794," Trần Quý Kiên, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội",80.0,2,2,1,20/03/2023,2599000000
171,21984691," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",84.1,2,2,2,20/03/2023,4650000000
172,22018059," Trường Chinh, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",50.0,2,2,2,20/03/2023,800000000
173,21208913," Tôn Đức Thắng, Phường Hàng Bột, Quận Đống Đa, Hà Nội",42.0,2,2,2,20/03/2023,710000000
174,22039749," Mễ Trì, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",86.0,2,2,1,20/03/2023,2450000000
175,22013662," Nguyễn Văn Linh, Phường Tân Phú, Quận 7, TPHCM",106.0,3,2,4,20/03/2023,7800000000
176,22063936," Lê Đại Hành, Phường 15, Quận 11, TPHCM",87.0,3,2,2,20/03/2023,6100000000
177,22018053," Nguyễn Trãi, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội",46.0,2,2,2,20/03/2023,681000000
178,21203324," Liễu Giai, Phường Liễu Giai, Quận Ba Đình, Hà Nội",50.0,2,1,2,20/03/2023,680000000
179,22011555," Nguyễn Văn Linh, Phường Tân Phú, Quận 7, TPHCM",106.0,3,2,4,20/03/2023,7800000000
180,22015899," Trần Bình, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",47.0,2,2,2,20/03/2023,630000000
181,21067474," Trường Chinh, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội",33.0,1,1,2,20/03/2023,710000000
182,22064171," Phạm Văn Đồng, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",93.0,3,2,1,20/03/2023,2650000000
183,22011549," Nguyễn Văn Linh, Phường Tân Phú, Quận 7, TPHCM",77.0,2,2,4,20/03/2023,5400000000
184,22015527," Liễu Giai, Phường Liễu Giai, Quận Ba Đình, Hà Nội",48.0,2,2,2,20/03/2023,700000000
185,22064154," Phạm Văn Đồng, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",93.0,3,2,1,20/03/2023,2650000000
186,22015525," Xuân Thủy, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",50.0,2,2,2,20/03/2023,700000000
187,22015521," Thụy Khuê, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",48.0,2,2,2,20/03/2023,650000000
188,22056577," Mai Chí Thọ, Phường Thủ Thiêm, Quận 2 (TP. Thủ Đức), TPHCM",120.0,3,2,4,20/03/2023,9500000000
189,22043440," Bến Vân Đồn, Phường 12, Quận 4, TPHCM",80.0,2,2,4,20/03/2023,7300000000
190,22015508," Kim Đồng, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội",50.0,2,2,2,20/03/2023,700000000
191,22015506," Chùa Bộc, Phường Quang Trung, Quận Đống Đa, Hà Nội",48.0,2,2,2,20/03/2023,690000000
193,22041670," Đường số 9A, Xã Bình Hưng, Huyện Bình Chánh, TPHCM",78.0,3,2,0,20/03/2023,4200000000
194,22015500," Bạch Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",48.0,2,2,2,20/03/2023,699999000
195,22053718," Kinh Dương Vương, Phường An Lạc A, Quận Bình Tân, TPHCM",68.0,2,1,4,20/03/2023,2800000000
196,22007397," Nguyễn Văn Linh, Phường Tân Phú, Quận 7, TPHCM",55.0,1,1,4,20/03/2023,4100000000
197,20834787," Nguyễn Đổng Chi, Phường Tân Phú, Quận 7, TPHCM",131.0,3,2,2,20/03/2023,5400000000
198,22041605," Bến Vân Đồn, Phường 1, Quận 4, TPHCM",76.0,2,1,2,20/03/2023,2849000000
199,22064788," Nguyễn Văn Linh, Phường Tân Phong, Quận 7, TPHCM",91.0,3,2,2,20/03/2023,3800000000
200,22015498," Xuân Thủy, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",48.0,2,2,2,20/03/2023,700000000
201,22064801," Nguyễn Đức Cảnh, Phường Tân Phong, Quận 7, TPHCM",106.0,3,2,2,20/03/2023,5800000000
202,22015494," Võ Thị Sáu, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội",50.0,2,2,2,20/03/2023,700000000
203,22037360," Đường số 7, Phường An Lạc, Quận Bình Tân, TPHCM",53.0,2,1,2,20/03/2023,2400000000
204,22032499," Bạch Đằng, Phường Bình Thuận, Quận Hải Châu, Đà Nẵng",72.0,2,2,4,20/03/2023,6500000000
205,22044551,"92 Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, TPHCM",135.0,3,2,1,20/03/2023,8100000000
206,22064841," Đường số 16, Phường Tân Phú, Quận 7, TPHCM",110.0,3,2,2,20/03/2023,9000000000
207,21977330," Lê Hồng Phong, Phường Điện Biên, Quận Ba Đình, Hà Nội",48.0,2,2,2,20/03/2023,605000000
208,22027914," Như Nguyệt, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng",53.0,1,1,4,20/03/2023,3399000000
209,21738775," Liễu Giai, Phường Liễu Giai, Quận Ba Đình, Hà Nội",45.0,2,1,2,20/03/2023,630000000
210,22027886," Như Nguyệt, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng",92.0,2,2,4,20/03/2023,6199000000
211,22037985," Trần Xuân Soạn, Phường Tân Hưng, Quận 7, TPHCM",128.0,3,3,2,20/03/2023,2950000000
212,21738754," Xã Đàn, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",45.0,2,1,2,20/03/2023,650000000
213,22036054," Đường số 7, Phường An Lạc, Quận Bình Tân, TPHCM",53.0,2,1,2,20/03/2023,2400000000
214,22027120," Võ Văn Kiệt, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng",80.0,2,2,1,20/03/2023,4300000000
215,22037827," Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, TPHCM",56.0,2,1,4,20/03/2023,2200000000
216,22017732,"92 Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, TPHCM",90.0,2,2,1,20/03/2023,5500000000
217,21735552," Khâm Thiên, Phường Khâm Thiên, Quận Đống Đa, Hà Nội",45.0,2,1,2,20/03/2023,620000000
218,22027018," Phạm Kiệt, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",105.0,3,2,4,20/03/2023,4599000000
219,22037026," Tạ Quang Bửu, Phường 5, Quận 8, TPHCM",105.0,2,2,2,20/03/2023,3300000000
220,20491603," Lũy Bán Bích, Phường Phú Thọ Hòa, Quận Tân Phú, TP.HCM",84.0,2,2,4,20/03/2023,1800000000
221,22066246," Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, TPHCM",178.0,3,2,2,20/03/2023,11999000000
222,22007461," Hoàng Sa, Phường 12, Quận 3, TPHCM",52.0,1,1,2,20/03/2023,2900000000
223,21992900," Ngô Tất Tố, Phường 19, Quận Bình Thạnh, TPHCM",87.0,3,2,2,20/03/2023,1950000000
225,21994115," Tân Kỳ Tân Quý, Phường Tân Sơn Nhì, Quận Tân Phú, TPHCM",83.0,2,2,2,20/03/2023,2350000000
226,22035535," Đường số 7, Phường An Lạc, Quận Bình Tân, TPHCM",68.0,2,2,1,20/03/2023,3099000000
227,22015033," Phạm Kiệt, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",83.0,2,2,1,20/03/2023,3750000000
228,22066881," Nguyễn Văn Tưởng, Phường Tân Phú, Quận 7, TPHCM",104.0,3,2,4,20/03/2023,5200000000
229,22066603," Đường 3 Tháng 2, Phường 12, Quận 10, TPHCM",99.0,3,2,2,20/03/2023,7500000000
230,22035520," Đường số 7, Phường An Lạc, Quận Bình Tân, TPHCM",60.0,2,1,1,20/03/2023,2600000000
231,22014349," Phạm Kiệt, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",83.0,2,2,1,20/03/2023,3500000000
