Diện tích,Phòng ngủ,Phòng tắm,Pháp lý,Ngày đăng,Mã BĐS,Địa chỉ,Giá,Mã ĐVHC
79.0,2,2,Sổ hồng,11/03/2023,21979338," Lương Định Của, Phường Bình Khánh, Quận 2 (TP. Thủ Đức), TPHCM",2 tỷ 236 triệu,769
69.0,2,1,Sổ hồng,11/03/2023,22027807," Ung Văn Khiêm, Phường 25, Quận Bình Thạnh, TPHCM",1 tỷ 850 triệu,765
90.0,2,2,Sổ hồng,11/03/2023,21962894," Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, TPHCM",1 tỷ 880 triệu,766
65.2,2,2,Sổ hồng,11/03/2023,22049746," Quốc Lộ 1A, Phường Tân Tạo, Quận Bình Tân, TPHCM",1 tỷ 670 triệu,777
79.0,2,2,Sổ hồng,11/03/2023,21979327," Liên Phường, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), TPHCM",1 tỷ 527 triệu,769
80.0,2,2,Sổ hồng,11/03/2023,22004002," Đường số 62, Phường Bình Trưng Đông, Quận 2 (TP. Thủ Đức), TPHCM",1 tỷ 840 triệu,769
79.0,2,2,Sổ hồng,11/03/2023,21962420," Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, TPHCM",2 tỷ 157 triệu,778
50.6,2,1,Sổ hồng,11/03/2023,22052424," Cô Giang, Phường Cô Giang, Quận 1, TPHCM",2 tỷ 110 triệu,760
64.0,2,2,Sổ hồng,11/03/2023,21979366," Tân Hòa Đông, Phường 13, Quận 6, TPHCM",1 tỷ 659 triệu,775
76.0,2,2,Sổ đỏ,11/03/2023,21481982," Lương Định Của, Phường Bình Khánh, Quận 2 (TP. Thủ Đức), TPHCM",3 tỷ 700 triệu,769
105.0,3,2,Sổ hồng,11/03/2023,21962116," Tản Đà, Phường 11, Quận 5, TPHCM",2 tỷ 520 triệu,774
90.5,3,3,Sổ hồng,11/03/2023,22049814," Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2 (TP. Thủ Đức), TPHCM",2 tỷ 360 triệu,769
86.0,2,2,Sổ hồng,11/03/2023,21979419," Hậu Giang, Phường 11, Quận 6, TPHCM",1 tỷ 837 triệu,775
67.0,2,2,Sổ hồng,11/03/2023,22028060," Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, TPHCM",1 tỷ 785 triệu,766
84.0,2,2,Sổ hồng,11/03/2023,21962405," Phan Văn Khỏe, Phường 2, Quận 6, TPHCM",2 tỷ 159 triệu,775
50.6,1,1,Sổ hồng,11/03/2023,21979409," Bến Vân Đồn, Phường 1, Quận 4, TPHCM",1 tỷ 378 triệu,773
68.0,2,2,Sổ hồng,11/03/2023,22028102," Nguyễn Thị Tú, Phường Bình Hưng Hòa B, Quận Bình Tân, TPHCM",1 tỷ 550 triệu,777
70.0,2,2,Sổ hồng,11/03/2023,21964286," Phạm văn hai, Phường 3, Quận Tân Bình, TPHCM",2 tỷ 375 triệu,766
65.0,2,2,Sổ hồng,11/03/2023,22054070," Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, TPHCM",1 tỷ 385 triệu,761
68.0,2,2,Sổ hồng,11/03/2023,21979453," Bông Sao, Phường 5, Quận 8, TPHCM",1 tỷ 645 triệu,776
70.0,2,2,Không xác định,11/03/2023,22028121," Trương Đăng Quế, Phường 3, Quận Gò Vấp, TPHCM",1 tỷ 650 triệu,764
75.0,2,2,Sổ hồng,11/03/2023,21962558," Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, TPHCM",1 tỷ 753 triệu,766
60.0,2,1,Sổ hồng,11/03/2023,22053995," Đào Trí, Phường Phú Thuận, Quận 7, TPHCM",1 tỷ 385 triệu,778
45.0,1,1,Sổ hồng,11/03/2023,21979044," Đường D1, Phường 25, Quận Bình Thạnh, TPHCM",1 tỷ 472 triệu,765
71.0,2,2,Sổ hồng,11/03/2023,22028139," Đường số 20, Phường Hiệp Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), TPHCM",1 tỷ 730 triệu,769
64.0,2,2,Sổ hồng,11/03/2023,21962739," Trường Chinh, Phường Tân Thới Nhất, Quận 12, TPHCM",1 tỷ 590 triệu,761
46.0,2,1,Sổ hồng,11/03/2023,21738782," Nguyễn Văn Cừ, Phường Bồ Đề, Quận Long Biên, Hà Nội",620 triệu,4
72.0,2,2,Sổ hồng,11/03/2023,22054046," Hồng Hà, Phường 9, Quận Phú Nhuận, TPHCM",2 tỷ 155 triệu,768
80.0,2,2,Không xác định,11/03/2023,22027371," Nguyễn Văn Luông, Phường 12, Quận 6, TPHCM",1 tỷ 880 triệu,775
64.0,2,2,Sổ hồng,11/03/2023,21962083," Phạm Văn Chiêu, Phường 14, Quận Gò Vấp, TPHCM",1 tỷ 376 triệu,764
48.0,2,2,Sổ hồng,11/03/2023,22033214," Hàng Bông, Phường Hàng Bông, Quận Hoàn Kiếm, Hà Nội",700 triệu,2
73.0,2,2,Sổ hồng,11/03/2023,21978550," Lê Văn Khương, Phường Hiệp Thành, Quận 12, TPHCM",1 tỷ 550 triệu,761
124.0,3,2,Sổ hồng,11/03/2023,22052964," Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, TPHCM",5 tỷ 650 triệu,778
65.0,2,2,Sổ hồng,11/03/2023,22027396," Đường số 44, Phường 16, Quận 8, TPHCM",1 tỷ 490 triệu,776
81.0,2,2,Sổ hồng,11/03/2023,21962460," Bùi Hữu Nghĩa, Phường 2, Quận Bình Thạnh, TPHCM",1 tỷ 490 triệu,765
50.0,2,2,Sổ hồng,11/03/2023,22033218," Nguyễn Văn Cừ, Phường Bồ Đề, Quận Long Biên, Hà Nội",650 triệu,4
80.7,2,2,Sổ hồng,11/03/2023,22053879," Lê Đại Hành, Phường 15, Quận 11, TPHCM",2 tỷ 430 triệu,772
69.0,2,2,Sổ hồng,11/03/2023,21979785," Tân Chánh Hiệp 21, Phường Tân Chánh Hiệp, Quận 12, TPHCM",1 tỷ 473 triệu,761
71.0,2,2,Sổ hồng,11/03/2023,22027434," Phạm Văn Nghị, Phường Tân Phong, Quận 7, TPHCM",1 tỷ 760 triệu,778
90.3,3,2,Sổ hồng,11/03/2023,21965207," Lê Văn Khương, Phường Thới An, Quận 12, TPHCM",1 tỷ 510 triệu,761
50.0,2,2,Sổ hồng,11/03/2023,22015517," Trần Bình, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",650 triệu,19
69.0,2,2,Sổ hồng,11/03/2023,21979746," Nguyễn Văn Trỗi, Phường 11, Quận Phú Nhuận, TPHCM",2 tỷ 475 triệu,768
75.0,3,2,Sổ hồng,11/03/2023,22027409," Kinh Dương Vương, Phường An Lạc, Quận Bình Tân, TPHCM",1 tỷ 940 triệu,777
73.0,2,2,Sổ hồng,11/03/2023,21962665," Cao Lỗ, Phường 4, Quận 8, TPHCM",1 tỷ 720 triệu,776
46.0,2,2,Sổ hồng,11/03/2023,22018053," Nguyễn Trãi, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội",681 triệu,9
114.0,2,3,Sổ hồng,11/03/2023,22053174," Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, TPHCM",4 tỷ 500 triệu,778
87.0,2,2,Sổ hồng,11/03/2023,22027534," Đường 3 Tháng 2, Phường 12, Quận 10, TPHCM",2 tỷ 770 triệu,771
61.0,2,2,Sổ hồng,11/03/2023,21961961," Lê Đại Hành, Phường 15, Quận 11, TPHCM",2 tỷ 247 triệu,772
50.0,2,2,Sổ hồng,11/03/2023,22015479," Đại Cồ Việt, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội",700 triệu,7
75.0,2,2,Sổ hồng,11/03/2023,22027484," Điện Biên Phủ, Phường 25, Quận Bình Thạnh, TPHCM",2 tỷ 55 triệu,765
53.0,2,1,Sổ hồng,11/03/2023,21965898," Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, TPHCM",1 tỷ 890 triệu,767
46.0,2,1,Sổ hồng,11/03/2023,21737183," Hoàng Quốc Việt, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",620 triệu,21
75.0,2,2,Sổ hồng,11/03/2023,22003568," Thoại Ngọc Hầu, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",1 tỷ 895 triệu,767
80.0,2,2,Sổ hồng,11/03/2023,21966111," Kinh Dương Vương, Phường An Lạc A, Quận Bình Tân, TPHCM",1 tỷ 928 triệu,777
48.0,2,1,Sổ hồng,11/03/2023,21767804," Phạm Văn Đồng, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",606 triệu,21
82.0,2,2,Sổ hồng,11/03/2023,21966165," Quốc Lộ 1A, Phường Trung Mỹ Tây, Quận 12, TPHCM",1 tỷ 295 triệu,761
45.0,2,1,Sổ hồng,11/03/2023,21738759," Đại Cồ Việt, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội",650 triệu,7
88.0,2,2,Sổ hồng,11/03/2023,21961991," Mai Chí Thọ, Phường Thủ Thiêm, Quận 2 (TP. Thủ Đức), TPHCM",1 tỷ 778 triệu,769
46.0,2,1,Sổ hồng,11/03/2023,21737093," Đại Cồ Việt, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội",620 triệu,7
58.0,2,1,Sổ hồng,11/03/2023,21962023," Lý Chính Thắng, Phường 8 (Phường Võ Thị Sáu), Quận 3, TPHCM",2 tỷ 863 triệu,770
48.0,2,2,Sổ hồng,11/03/2023,22015957," Xuân La, Phường Xuân La, Quận Tây Hồ, Hà Nội",650 triệu,3
70.0,2,2,Sổ hồng,11/03/2023,21962042," Nguyễn Khoái, Phường 1, Quận 4, TPHCM",2 tỷ 839 triệu,773
50.0,2,1,Sổ hồng,11/03/2023,22018084," Hồ Tùng Mậu, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",700 triệu,5
50.0,2,2,Sổ hồng,11/03/2023,22018073," Bạch Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",750 triệu,7
46.0,2,1,Sổ hồng,11/03/2023,21737106," Nguyễn Trãi, Phường Thượng Đình, Quận Thanh Xuân, Hà Nội",620 triệu,9
50.0,2,2,Sổ hồng,11/03/2023,22015493," Giải Phóng, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội",680 triệu,8
45.0,2,1,Sổ hồng,11/03/2023,21735542," Nguyễn Chí Thanh, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội",620 triệu,1
50.0,2,2,Sổ hồng,11/03/2023,22033227," Lạc Trung, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội",700 triệu,7
50.0,2,2,Sổ đỏ,11/03/2023,22018081," Phạm Hùng, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",700 triệu,19
50.0,2,2,Sổ hồng,11/03/2023,22018074," Xuân La, Phường Xuân La, Quận Tây Hồ, Hà Nội",700 triệu,3
50.0,2,2,Sổ hồng,11/03/2023,22018085," Phạm Hùng, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",690 triệu,19
50.0,2,2,Sổ hồng,11/03/2023,22018082," Yên Hòa, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội",700 triệu,5
50.0,2,2,Sổ hồng,11/03/2023,22026473," Lò Đúc, Phường Đống Mác, Quận Hai Bà Trưng, Hà Nội",660 triệu,7
52.0,2,2,Sổ hồng,11/03/2023,22015904," Trương Định, Phường Tương Mai, Quận Hoàng Mai, Hà Nội",750 triệu,8
83.0,2,1,Giấy tờ hợp lệ,11/03/2023,21992798," Hồng Hà, Phường 9, Quận Phú Nhuận, TPHCM",5 tỷ 900 triệu,768
50.0,2,2,Sổ hồng,11/03/2023,22015907," Khâm Thiên, Phường Khâm Thiên, Quận Đống Đa, Hà Nội",700 triệu,6
50.0,2,2,Sổ đỏ,11/03/2023,22015928," Lạc Long Quân, Phường Bưởi, Quận Tây Hồ, Hà Nội",650 triệu,3
50.0,2,2,Sổ hồng,11/03/2023,22015935," Thụy Khuê, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",700 triệu,3
48.0,2,2,Sổ đỏ,11/03/2023,22015503," Phạm Ngọc Thạch, Phường Kim Liên, Quận Đống Đa, Hà Nội",650 triệu,6
50.0,2,2,Sổ hồng,11/03/2023,22016006," Trương Định, Phường Tương Mai, Quận Hoàng Mai, Hà Nội",700 triệu,8
50.0,2,2,Sổ hồng,11/03/2023,22015924," Phạm Văn Đồng, Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, Hà Nội",700 triệu,21
48.0,2,2,Sổ hồng,11/03/2023,22015480," Đại Cồ Việt, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội",649 triệu 999 nghìn,7
50.0,2,2,Sổ đỏ,11/03/2023,22018070," Đại Cồ Việt, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội",690 triệu,7
50.0,2,2,Sổ hồng,11/03/2023,22018067," Phạm Văn Đồng, Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, Hà Nội",650 triệu,21
50.0,2,2,Sổ hồng,11/03/2023,22018069," Nguyễn Trãi, Phường Thượng Đình, Quận Thanh Xuân, Hà Nội",800 triệu,9
50.0,2,2,Sổ hồng,11/03/2023,22018066," Ô Chợ Dừa, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",700 triệu,6
46.0,2,1,Sổ hồng,11/03/2023,21737140," Phạm Ngọc Thạch, Phường Quang Trung, Quận Đống Đa, Hà Nội",630 triệu,6
46.0,2,1,Sổ hồng,11/03/2023,21737177," Trường Chinh, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",610 triệu,9
48.0,2,1,Sổ hồng,11/03/2023,21901111," Minh Khai, Phường Mai Động, Quận Hoàng Mai, Hà Nội",620 triệu,8
48.0,2,1,Sổ hồng,11/03/2023,21901119," Giải Phóng, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội",609 triệu,8
50.0,2,2,Sổ đỏ,11/03/2023,22015481," Giải Phóng, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội",660 triệu,8
50.0,2,2,Sổ hồng,11/03/2023,22015488," Phạm Hùng, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",650 triệu,19
92.0,3,2,Hợp đồng mua bán,11/03/2023,21959181," Âu Cơ, Phường Tân Sơn Nhì, Quận Tân Phú, TPHCM",3 tỷ 660 triệu,767
90.0,2,2,Sổ hồng,11/03/2023,22050934," Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, TPHCM",4 tỷ 900 triệu,765
75.0,2,2,Hợp đồng mua bán,11/03/2023,22050901," Hồng Hà, Phường 2, Quận Tân Bình, TPHCM",3 tỷ 800 triệu,766
90.0,2,2,Sổ hồng,11/03/2023,22050942," Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, TPHCM",4 tỷ 900 triệu,765
92.0,2,2,Sổ hồng,11/03/2023,22050973," Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, TPHCM",4 tỷ 900 triệu,765
92.0,2,2,Sổ hồng,11/03/2023,22050990," Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, TPHCM",5 tỷ 500 triệu,765
75.0,2,2,Sổ hồng,11/03/2023,21566880," Phan Văn Trị, Phường 10, Quận Gò Vấp, TPHCM",3 tỷ 700 triệu,764
54.0,1,1,Sổ hồng,11/03/2023,21873759," Trần Trọng Cung, Phường Tân Thuận Đông, Quận 7, TPHCM",2 tỷ,778
79.0,2,2,Không xác định,11/03/2023,22018447," Nguyên Hồng, Phường 1, Quận Gò Vấp, TPHCM",4 tỷ 99 triệu,764
39.0,1,1,Hợp đồng mua bán,11/03/2023,21625382," Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, TPHCM",1 tỷ 850 triệu,778
69.0,2,2,Sổ hồng,11/03/2023,21566841," Nguyễn Văn Công, Phường 3, Quận Gò Vấp, TPHCM",3 tỷ 100 triệu,764
69.0,2,2,Hợp đồng mua bán,11/03/2023,21629963," Nguyễn Thị Thập, Phường Tân Hưng, Quận 7, TPHCM",3 tỷ 100 triệu,778
76.0,2,2,Hợp đồng mua bán,11/03/2023,21629979," Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, TPHCM",3 tỷ 900 triệu,778
80.0,2,2,Hợp đồng mua bán,11/03/2023,21566859," Trương Đăng Quế, Phường 3, Quận Gò Vấp, TPHCM",3 tỷ 400 triệu,764
68.0,2,2,Sổ hồng,11/03/2023,21887165," Trần Trọng Cung, Phường Tân Thuận Đông, Quận 7, TPHCM",2 tỷ 350 triệu,778
54.0,1,1,Sổ hồng,11/03/2023,21913272," Trần Trọng Cung, Phường Tân Thuận Đông, Quận 7, TPHCM",1 tỷ 995 triệu,778
60.0,2,2,Sổ hồng,11/03/2023,22051459," Trường Chinh, Phường Tân Thới Nhất, Quận 12, TPHCM",2 tỷ 150 triệu,761
67.0,1,1,Sổ hồng,11/03/2023,21889064," Trần Trọng Cung, Phường Tân Thuận Đông, Quận 7, TPHCM",2 tỷ 10 triệu,778
52.0,1,1,Sổ hồng,11/03/2023,22007461," Hoàng Sa, Phường 12, Quận 3, TPHCM",2 tỷ 900 triệu,770
74.0,2,2,Sổ hồng,11/03/2023,22053974," Phú Thuận, Phường Phú Thuận, Quận 7, TPHCM",2 tỷ 135 triệu,778
94.0,3,2,Sổ hồng,11/03/2023,22053968," Âu Cơ, Phường Tân Thành, Quận Tân Phú, TPHCM",1 tỷ 370 triệu,767
39.0,1,1,Hợp đồng mua bán,11/03/2023,21589914," Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, TPHCM",1 tỷ 750 triệu,778
65.0,2,2,Sổ hồng,11/03/2023,21859102," Đường số 35, Phường Cát Lái, Quận 2 (TP. Thủ Đức), TPHCM",1 tỷ 550 triệu,769
112.0,3,2,Sổ hồng,11/03/2023,21859162," Hoàng Quốc Việt, Phường Phú Thuận, Quận 7, TPHCM",3 tỷ 350 triệu,778
69.0,2,2,Sổ hồng,11/03/2023,21859178," Thủy Lợi, Phường Phước Long A, Quận 9 (TP. Thủ Đức), TPHCM",1 tỷ 720 triệu,769
65.0,2,2,Sổ hồng,11/03/2023,21859195," Trịnh Đình Thảo, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",1 tỷ 670 triệu,767
71.0,2,2,Sổ hồng,11/03/2023,21859227," Nguyễn Xí, Phường 26, Quận Bình Thạnh, TPHCM",1 tỷ 890 triệu,765
70.0,2,2,Sổ hồng,11/03/2023,21859259," Nguyễn Lương Bằng, Phường Phú Mỹ, Quận 7, TPHCM",2 tỷ 280 triệu,778
74.0,2,2,Sổ hồng,11/03/2023,21859572," Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, TPHCM",1 tỷ 770 triệu,786
75.0,2,2,Sổ hồng,11/03/2023,21724695," Nguyên Hồng, Phường 1, Quận Gò Vấp, TPHCM",3 tỷ 600 triệu,764
73.0,2,1,Hợp đồng mua bán,11/03/2023,21458857," Đường D4, Phường Tân Hưng, Quận 7, TPHCM",2 tỷ 400 triệu,778
86.0,3,2,Sổ hồng,11/03/2023,21992959," Vườn Lài, Phường Phú Thọ Hòa, Quận Tân Phú, TPHCM",2 tỷ 60 triệu,767
75.0,2,2,Sổ hồng,11/03/2023,21992966," Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, TPHCM",1 tỷ 680 triệu,766
86.0,3,3,Sổ hồng,11/03/2023,21993219," Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, TPHCM",2 tỷ 300 triệu,778
72.0,2,2,Không xác định,11/03/2023,21993562," Đường số 20, Phường Hiệp Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), TPHCM",1 tỷ 890 triệu,769
70.0,1,1,Sổ hồng,11/03/2023,21993996," Ngô Tất Tố, Phường 21, Quận Bình Thạnh, TPHCM",2 tỷ 800 triệu,765
60.0,2,2,Sổ hồng,11/03/2023,21994041," Ngô Tất Tố, Phường 19, Quận Bình Thạnh, TPHCM",1 tỷ 680 triệu,765
86.0,2,2,Sổ hồng,11/03/2023,21994333," Lũy Bán Bích, Phường Phú Thạnh, Quận Tân Phú, TPHCM",1 tỷ 680 triệu,767
90.0,2,2,Sổ hồng,11/03/2023,21994346," Bến Vân Đồn, Phường 1, Quận 4, TPHCM",3 tỷ 160 triệu,773
70.0,2,2,Sổ hồng,11/03/2023,21994366," Phú Thuận, Phường Phú Thuận, Quận 7, TPHCM",2 tỷ 550 triệu,778
45.0,1,1,Sổ hồng,11/03/2023,21994378," Nguyễn Duy Trinh, Phường Bình Trưng Tây, Quận 2 (TP. Thủ Đức), TPHCM",1 tỷ 365 triệu,769
65.0,2,2,Sổ hồng,11/03/2023,21994383," Hoàng Quốc Việt, Phường Phú Thuận, Quận 7, TPHCM",2 tỷ 350 triệu,778
102.0,3,2,Sổ hồng,11/03/2023,21994425," Mai Chí Thọ, Phường Bình Khánh, Quận 2 (TP. Thủ Đức), TPHCM",4 tỷ 325 triệu,769
92.0,2,2,Sổ hồng,11/03/2023,21994434," Tạ Quang Bửu, Phường 6, Quận 8, TPHCM",2 tỷ 350 triệu,776
60.0,2,2,Sổ hồng,11/03/2023,21994440," Đường D6, Phường Bình Chiểu, Quận Thủ Đức (TP. Thủ Đức), TPHCM",1 tỷ 680 triệu,769
75.0,2,2,Sổ hồng,11/03/2023,21995407," Tạ Quang Bửu, Phường 6, Quận 8, TPHCM",2 tỷ 235 triệu,776
64.0,2,2,Sổ hồng,11/03/2023,21996026," Lũy Bán Bích, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",1 tỷ 786 triệu,767
82.0,2,2,Sổ hồng,11/03/2023,21860969," Nguyễn Văn Trỗi, Phường 11, Quận Phú Nhuận, TPHCM",3 tỷ 560 triệu,768
65.0,2,2,Sổ hồng,11/03/2023,21996037," Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, TPHCM",1 tỷ 830 triệu,767
107.0,3,2,Sổ hồng,11/03/2023,21860974," Âu Cơ, Phường Tân Thành, Quận Tân Phú, TPHCM",3 tỷ 250 triệu,767
93.0,2,2,Sổ hồng,11/03/2023,21996048," Xô Viết Nghệ Tĩnh, Phường 21, Quận Bình Thạnh, TPHCM",2 tỷ 310 triệu,765
75.0,2,2,Sổ hồng,11/03/2023,21861061," Mai Chí Thọ, Phường An Phú, Quận 2 (TP. Thủ Đức), TPHCM",3 tỷ 480 triệu,769
90.0,2,2,Sổ hồng,11/03/2023,21996054," Lê Đại Hành, Phường 15, Quận 11, TPHCM",3 tỷ 550 triệu,772
56.0,1,1,Sổ hồng,11/03/2023,21861069," Hồng Hà, Phường 2, Quận Tân Bình, TPHCM",1 tỷ 720 triệu,766
78.0,2,2,Sổ hồng,11/03/2023,21996088," Tôn Đản, Phường 13, Quận 4, TPHCM",2 tỷ 450 triệu,773
66.0,2,2,Sổ hồng,11/03/2023,21861180," Đỗ Xuân Hợp, Phường Phước Long B, Quận 9 (TP. Thủ Đức), TPHCM",1 tỷ 570 triệu,769
60.0,1,1,Sổ hồng,11/03/2023,21993221," Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, TPHCM",1 tỷ 760 triệu,765
78.0,2,2,Sổ hồng,11/03/2023,21861277," Linh Đông, Phường Linh Trung, Quận Thủ Đức (TP. Thủ Đức), TPHCM",1 tỷ 860 triệu,769
98.0,3,2,Sổ hồng,11/03/2023,21993575," Đường số 10, Phường Hiệp Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), TPHCM",2 tỷ 980 triệu,769
52.0,2,1,Sổ hồng,11/03/2023,21861296," Đỗ Xuân Hợp, Phường Phước Long B, Quận 9 (TP. Thủ Đức), TPHCM",1 tỷ 168 triệu,769
76.0,2,2,Giấy tờ hợp lệ,11/03/2023,21900363," Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, TPHCM",4 tỷ,778
90.0,3,2,Sổ hồng,11/03/2023,21993582," Cao Đạt, Phường 1, Quận 5, TPHCM",1 tỷ 950 triệu,774
90.0,3,2,Sổ hồng,11/03/2023,21861374," Hoàng Quốc Việt, Phường Phú Thuận, Quận 7, TPHCM",3 tỷ 200 triệu,778
90.0,2,2,Sổ hồng,11/03/2023,21994031," Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, TPHCM",2 tỷ 250 triệu,765
130.0,3,3,Sổ hồng,11/03/2023,21861402," Phổ Quang, Phường 2, Quận Tân Bình, TPHCM",3 tỷ 890 triệu,766
85.0,2,2,Sổ hồng,11/03/2023,21859899," Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, TPHCM",3 tỷ 820 triệu,765
67.0,2,2,Sổ hồng,11/03/2023,21458861," Trần Trọng Cung, Phường Tân Thuận Đông, Quận 7, TPHCM",2 tỷ 500 triệu,778
128.0,3,2,Sổ hồng,11/03/2023,21994146," Đào Trí, Phường Phú Thuận, Quận 7, TPHCM",2 tỷ 865 triệu,778
