Mã BĐS,Địa chỉ,Diện tích,Phòng ngủ,Phòng tắm,Pháp lý,Ngày đăng,Giá nhà
22020659," Nguyễn Cơ Thạch, Phường An Lợi Đông, Quận 2 (TP. Thủ Đức), TPHCM",88 m2,2,2,Sổ hồng,20/03/2023,9 tỷ 500 triệu
21953719," Trường Chinh, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",50 m2,2,2,Sổ hồng,20/03/2023,605 triệu
21999433," Tôn Dật Tiên, Phường Tân Phú, Quận 7, TPHCM",80 m2,2,2,Sổ hồng,20/03/2023,3 tỷ 800 triệu
21848331," Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, TPHCM",82 m2,2,2,Hợp đồng mua bán,20/03/2023,6 tỷ 350 triệu
21409974," Giáp Nhất, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",45 m2,2,1,Không xác định,20/03/2023,990 triệu
21953724," Đại Cồ Việt, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội",50 m2,2,2,Sổ hồng,20/03/2023,612 triệu
21999420," Tôn Dật Tiên, Phường Tân Phú, Quận 7, TPHCM",77 m2,2,2,Sổ hồng,20/03/2023,3 tỷ 600 triệu
21519076," Đường D4, Phường Tân Hưng, Quận 7, TPHCM","113,7 m2",3,2,Hợp đồng mua bán,20/03/2023,3 tỷ 300 triệu
20693257," Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, TPHCM",65 m2,2,2,Hợp đồng mua bán,20/03/2023,2 tỷ 750 triệu
21407920," Trường Chinh, Phường Khương Thượng, Quận Đống Đa, Hà Nội",45 m2,2,1,Sổ hồng,20/03/2023,780 triệu
21848264," Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, TPHCM",82 m2,2,2,Hợp đồng mua bán,20/03/2023,5 tỷ 900 triệu
21953727," Chùa Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội",50 m2,2,2,Sổ hồng,18/03/2023,613 triệu
22039653," An Dương Vương, Phường An Lạc, Quận Bình Tân, TPHCM",95 m2,3,2,Sổ hồng,20/03/2023,2 tỷ 350 triệu
20693233," Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, TPHCM",91 m2,3,2,Hợp đồng mua bán,20/03/2023,3 tỷ 200 triệu
21840179," Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, TPHCM",84 m2,2,2,Hợp đồng mua bán,20/03/2023,6 tỷ 200 triệu
21404169," Tôn Thất Tùng, Phường Khương Thượng, Quận Đống Đa, Hà Nội",45 m2,2,1,Sổ đỏ,20/03/2023,800 triệu
21953731," Khâm Thiên, Phường Khâm Thiên, Quận Đống Đa, Hà Nội",50 m2,2,2,Sổ hồng,20/03/2023,615 triệu
22064375," Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, TPHCM",82 m2,2,2,Sổ hồng,20/03/2023,5 tỷ 600 triệu
21851089," Mậu Lương, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",105 m2,3,3,Sổ hồng,20/03/2023,2 tỷ 700 triệu
21999433," Tôn Dật Tiên, Phường Tân Phú, Quận 7, TPHCM",80 m2,2,2,Sổ hồng,20/03/2023,3 tỷ 800 triệu
21848331," Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, TPHCM",82 m2,2,2,Hợp đồng mua bán,20/03/2023,6 tỷ 350 triệu
21409974," Giáp Nhất, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",45 m2,2,1,Không xác định,20/03/2023,990 triệu
21953724," Đại Cồ Việt, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội",50 m2,2,2,Sổ hồng,20/03/2023,612 triệu
21999420," Tôn Dật Tiên, Phường Tân Phú, Quận 7, TPHCM",77 m2,2,2,Sổ hồng,20/03/2023,3 tỷ 600 triệu
21519076," Đường D4, Phường Tân Hưng, Quận 7, TPHCM","113,7 m2",3,2,Hợp đồng mua bán,20/03/2023,3 tỷ 300 triệu
20693257," Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, TPHCM",65 m2,2,2,Hợp đồng mua bán,20/03/2023,2 tỷ 750 triệu
21407920," Trường Chinh, Phường Khương Thượng, Quận Đống Đa, Hà Nội",45 m2,2,1,Sổ hồng,20/03/2023,780 triệu
21848264," Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, TPHCM",82 m2,2,2,Hợp đồng mua bán,20/03/2023,5 tỷ 900 triệu
21953727," Chùa Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội",50 m2,2,2,Sổ hồng,20/03/2023,613 triệu
22039653," An Dương Vương, Phường An Lạc, Quận Bình Tân, TPHCM",95 m2,3,2,Sổ hồng,20/03/2023,2 tỷ 350 triệu
20693233," Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, TPHCM",91 m2,3,2,Hợp đồng mua bán,20/03/2023,3 tỷ 200 triệu
21840179," Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, TPHCM",84 m2,2,2,Hợp đồng mua bán,20/03/2023,6 tỷ 200 triệu
21404169," Tôn Thất Tùng, Phường Khương Thượng, Quận Đống Đa, Hà Nội",45 m2,2,1,Sổ đỏ,20/03/2023,800 triệu
21953731," Khâm Thiên, Phường Khâm Thiên, Quận Đống Đa, Hà Nội",50 m2,2,2,Sổ hồng,20/03/2023,615 triệu
22064375," Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, TPHCM",82 m2,2,2,Sổ hồng,20/03/2023,5 tỷ 600 triệu
21851089," Mậu Lương, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",105 m2,3,3,Sổ hồng,20/03/2023,2 tỷ 700 triệu
21402043," Hồ Tùng Mậu, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",55 m2,2,1,Sổ đỏ,20/03/2023,800 triệu
21832667," Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, TPHCM",52 m2,1,1,Hợp đồng mua bán,20/03/2023,4 tỷ 200 triệu
21982783," Mai Chí Thọ, Phường Thủ Thiêm, Quận 2 (TP. Thủ Đức), TPHCM",114 m2,3,2,Hợp đồng mua bán,20/03/2023,9 tỷ
21953736," Trần Bình, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",48 m2,2,2,Sổ hồng,20/03/2023,603 triệu
21998623," Nguyễn Văn Linh, Phường Tân Phong, Quận 7, TPHCM",135 m2,3,2,Sổ hồng,20/03/2023,5 tỷ 500 triệu
21832715," Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, TPHCM",111 m2,3,2,Hợp đồng mua bán,20/03/2023,9 tỷ 200 triệu
21352833," Nguyễn Trãi, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",33 m2,1,1,Sổ hồng,20/03/2023,720 triệu
21982763," Mai Chí Thọ, Phường Thủ Thiêm, Quận 2 (TP. Thủ Đức), TPHCM",88 m2,2,2,Hợp đồng mua bán,20/03/2023,6 tỷ 500 triệu
21955129," Giang Văn Minh, Phường Đội Cấn, Quận Ba Đình, Hà Nội",50 m2,2,2,Sổ hồng,20/03/2023,609 triệu
21998616," Nguyễn Văn Linh, Phường Tân Phong, Quận 7, TPHCM",115 m2,3,2,Sổ hồng,18/03/2023,4 tỷ 600 triệu
21965672," Tôn Dật Tiên, Phường Tân Phú, Quận 7, TPHCM",71 m2,2,2,Sổ hồng,20/03/2023,3 tỷ 550 triệu
21310185," Hoàng Hoa Thám, Phường Ngọc Hà, Quận Ba Đình, Hà Nội",50 m2,2,1,Sổ hồng,20/03/2023,999 triệu 999 nghìn
21955136," Phạm Văn Đồng, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",50 m2,2,2,Sổ hồng,20/03/2023,605 triệu
21965627," Phạm Văn Nghị, Phường Tân Phong, Quận 7, TPHCM",91 m2,3,2,Sổ hồng,20/03/2023,3 tỷ 400 triệu
22066150," Nguyễn Khoái, Phường 1, Quận 4, TPHCM",50 m2,1,1,Sổ hồng,20/03/2023,3 tỷ
21433472," Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, TPHCM",76 m2,2,2,Sổ hồng,20/03/2023,3 tỷ 650 triệu
20686115," Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, TPHCM",65 m2,2,2,Hợp đồng mua bán,20/03/2023,3 tỷ
21285530," Hoàng Hoa Thám, Phường Ngọc Hà, Quận Ba Đình, Hà Nội",50 m2,2,1,Sổ hồng,20/03/2023,980 triệu
21478439," Nguyễn Thị Thập, Phường Tân Hưng, Quận 7, TPHCM",82 m2,2,2,Sổ hồng,20/03/2023,3 tỷ 500 triệu
21955141," Trích Sài, Phường Bưởi, Quận Tây Hồ, Hà Nội",50 m2,2,2,Sổ hồng,20/03/2023,607 triệu
22044190," Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, TPHCM",124 m2,3,3,Sổ hồng,20/03/2023,5 tỷ 650 triệu
20684687," Trịnh Đình Thảo, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",69 m2,2,2,Hợp đồng mua bán,20/03/2023,2 tỷ 200 triệu
21256473," Lạc Long Quân, Phường Bưởi, Quận Tây Hồ, Hà Nội",35 m2,1,1,Sổ hồng,20/03/2023,600 triệu
21955150," Kim Ngưu, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội",50 m2,2,2,Sổ hồng,20/03/2023,608 triệu
21256431," Hoàng Hoa Thám, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",50 m2,2,1,Sổ hồng,20/03/2023,880 triệu
21964806," Khương Trung, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",53 m2,3,2,Sổ hồng,20/03/2023,613 triệu
21237322," Ngọc Khánh, Phường Giảng Võ, Quận Ba Đình, Hà Nội",45 m2,2,1,Sổ hồng,20/03/2023,780 triệu
21967521," Mai Chí Thọ, Phường Thủ Thiêm, Quận 2 (TP. Thủ Đức), TPHCM",88 m2,2,2,Hợp đồng mua bán,20/03/2023,6 tỷ 500 triệu
21964807," Định Công, Phường Định Công, Quận Hoàng Mai, Hà Nội",55 m2,3,2,Sổ hồng,20/03/2023,616 triệu
21965680," Phạm Văn Nghị, Phường Tân Phong, Quận 7, TPHCM",70 m2,2,2,Sổ hồng,20/03/2023,2 tỷ 700 triệu
22039883," Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, TPHCM",99 m2,2,2,Sổ hồng,20/03/2023,4 tỷ 800 triệu
21427583," Đường D4, Phường Tân Hưng, Quận 7, TPHCM",113 m2,3,2,Hợp đồng mua bán,20/03/2023,3 tỷ
21237252," Hoàng Hoa Thám, Phường Bưởi, Quận Tây Hồ, Hà Nội",35 m2,5,7,Sổ hồng,20/03/2023,680 triệu
22026560," Lạc Long Quân, Phường Bưởi, Quận Tây Hồ, Hà Nội",55 m2,2,2,Sổ hồng,20/03/2023,630 triệu
21965643," Nguyễn Văn Linh, Phường Tân Phong, Quận 7, TPHCM",135 m2,3,2,Sổ hồng,20/03/2023,5 tỷ 400 triệu
21237218," Trường Chinh, Phường Khương Thượng, Quận Đống Đa, Hà Nội",35 m2,1,1,Sổ hồng,18/03/2023,680 triệu
22026562," Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội",55 m2,2,2,Sổ hồng,20/03/2023,635 triệu
21241657," Hoàng Hoa Thám, Phường Bưởi, Quận Tây Hồ, Hà Nội",45 m2,2,1,Sổ hồng,20/03/2023,780 triệu
21946556," Mai Chí Thọ, Phường Thủ Thiêm, Quận 2 (TP. Thủ Đức), TPHCM",120 m2,3,2,Hợp đồng mua bán,20/03/2023,9 tỷ 500 triệu
21468780," Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, TPHCM",99 m2,2,2,Hợp đồng mua bán,20/03/2023,4 tỷ
21261909," Văn Cao, Phường Liễu Giai, Quận Ba Đình, Hà Nội",45 m2,2,1,Sổ hồng,18/03/2023,780 triệu
22066006," Hậu Giang, Phường 11, Quận 6, TPHCM",102 m2,2,2,Sổ hồng,20/03/2023,4 tỷ 350 triệu
21263860," Trích Sài, Phường Bưởi, Quận Tây Hồ, Hà Nội",35 m2,1,1,Sổ hồng,20/03/2023,600 triệu
21935440," Mai Chí Thọ, Phường Thủ Thiêm, Quận 2 (TP. Thủ Đức), TPHCM",88 m2,2,2,Hợp đồng mua bán,20/03/2023,7 tỷ
21270685," Tam Khương, Phường Khương Thượng, Quận Đống Đa, Hà Nội",32 m2,1,1,Sổ hồng,20/03/2023,600 triệu
21965638," Nguyễn Văn Linh, Phường Tân Phong, Quận 7, TPHCM",70 m2,2,2,Sổ hồng,20/03/2023,2 tỷ 800 triệu
21328694," Hoàng Hoa Thám, Phường Ngọc Hà, Quận Ba Đình, Hà Nội",36 m2,1,1,Sổ hồng,20/03/2023,680 triệu
21406893," Giải Phóng, Phường Phương Mai, Quận Đống Đa, Hà Nội",50 m2,2,1,Sổ hồng,20/03/2023,890 triệu
22064290," Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, TPHCM",100 m2,3,3,Sổ hồng,20/03/2023,4 tỷ 500 triệu
21695471," Đường Láng, Phường Thịnh Quang, Quận Đống Đa, Hà Nội",45 m2,2,1,Sổ hồng,20/03/2023,600 triệu
22068534," Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, TPHCM",63 m2,1,1,Sổ hồng,20/03/2023,4 tỷ
22068548," Nguyễn Lương Bằng, Phường Phú Mỹ, Quận 7, TPHCM",94 m2,3,2,Sổ hồng,20/03/2023,4 tỷ 500 triệu
21936481," Nguyễn Thị Định, Phường An Phú, Quận 2 (TP. Thủ Đức), TPHCM",101 m2,3,2,Sổ hồng,20/03/2023,6 tỷ 100 triệu
22011655," Đường D1, Phường 25, Quận Bình Thạnh, TPHCM",70 m2,2,2,Sổ hồng,20/03/2023,4 tỷ 450 triệu
21925099," Nguyễn Thị Định, Phường An Phú, Quận 2 (TP. Thủ Đức), TPHCM",70 m2,2,2,Sổ hồng,20/03/2023,4 tỷ 700 triệu
21459400," Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, TPHCM",99 m2,2,2,Sổ hồng,20/03/2023,4 tỷ 50 triệu
20673910," Tân Thới Nhất 8, Phường Tân Thới Nhất, Quận 12, TPHCM",93 m2,4,26,Hợp đồng mua bán,20/03/2023,1 tỷ 650 triệu
21686854," Đường D4, Phường Tân Hưng, Quận 7, TPHCM",113 m2,3,2,Không xác định,20/03/2023,3 tỷ 350 triệu
21459400," Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, TPHCM",99 m2,2,2,Sổ hồng,20/03/2023,4 tỷ 50 triệu
20673910," Tân Thới Nhất 8, Phường Tân Thới Nhất, Quận 12, TPHCM",93 m2,4,26,Hợp đồng mua bán,20/03/2023,1 tỷ 650 triệu
21686854," Đường D4, Phường Tân Hưng, Quận 7, TPHCM",113 m2,3,2,Không xác định,20/03/2023,3 tỷ 350 triệu
20672809," Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, TPHCM",88 m2,2,2,Sổ hồng,20/03/2023,2 tỷ 500 triệu
22036250," Phạm Văn Đồng, Phường Linh Tây, Quận Thủ Đức (TP. Thủ Đức), TPHCM",57 m2,2,2,Hợp đồng mua bán,20/03/2023,2 tỷ 600 triệu
21982998," Mai Chí Thọ, Phường Thủ Thiêm, Quận 2 (TP. Thủ Đức), TPHCM",88 m2,2,2,Sổ hồng,20/03/2023,8 tỷ 500 triệu
21729698," Đỗ Nhuận, Phường Xuân Tảo, Quận Bắc Từ Liêm, Hà Nội",50 m2,2,1,Sổ đỏ,20/03/2023,620 triệu
21697106," Đình Thôn, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",50 m2,2,1,Sổ đỏ,20/03/2023,570 triệu
22018544," Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, TPHCM",124 m2,3,2,Sổ hồng,20/03/2023,3 tỷ 50 triệu
21408546," Khương Thượng, Phường Khương Thượng, Quận Đống Đa, Hà Nội",45 m2,2,1,Sổ đỏ,20/03/2023,650 triệu
21358500," Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",54 m2,3,2,Sổ đỏ,20/03/2023,690 triệu
21352925," Cự Lộc, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",54 m2,3,2,Sổ đỏ,20/03/2023,750 triệu
21344481," Trích Sài, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",43 m2,2,1,Sổ đỏ,20/03/2023,770 triệu
22026469," Minh Khai, Phường Mai Động, Quận Hoàng Mai, Hà Nội",50 m2,2,2,Sổ hồng,20/03/2023,650 triệu
21983615," Nguyễn Cơ Thạch, Phường An Lợi Đông, Quận 2 (TP. Thủ Đức), TPHCM",88 m2,2,2,Sổ hồng,20/03/2023,8 tỷ
21344475," Lạc Long Quân, Phường Bưởi, Quận Tây Hồ, Hà Nội",56 m2,2,1,Sổ đỏ,20/03/2023,850 triệu
22026459," Lò Đúc, Phường Đống Mác, Quận Hai Bà Trưng, Hà Nội",50 m2,2,2,Sổ hồng,20/03/2023,700 triệu
21341436," Võng Thị, Phường Bưởi, Quận Tây Hồ, Hà Nội",35 m2,1,1,Sổ đỏ,20/03/2023,690 triệu
22069594," Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, TPHCM",56 m2,1,1,Sổ hồng,20/03/2023,2 tỷ 800 triệu
22026456," Phạm Văn Đồng, Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, Hà Nội",50 m2,2,2,Sổ hồng,20/03/2023,699 triệu 999 nghìn
21314331," Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội",43 m2,2,1,Không xác định,20/03/2023,770 triệu
22018085," Phạm Hùng, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",50 m2,2,2,Sổ hồng,20/03/2023,690 triệu
21313237," Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội",44 m2,2,1,Sổ đỏ,20/03/2023,770 triệu
22018072," Minh Khai, Phường Mai Động, Quận Hoàng Mai, Hà Nội",50 m2,2,2,Sổ hồng,20/03/2023,750 triệu
21234525," Hoàng Diệu, Phường Cống Vị, Quận Ba Đình, Hà Nội",44 m2,2,1,Sổ đỏ,20/03/2023,940 triệu
22050074," Đường 70A, Phường Xuân Phương, Quận Nam Từ Liêm, Hà Nội",57 m2,2,1,Sổ hồng,20/03/2023,1 tỷ 800 triệu
20981875," Phạm Văn Nghị, Phường Tân Phong, Quận 7, TPHCM",74 m2,2,2,Sổ hồng,20/03/2023,3 tỷ 100 triệu
22015949," Mễ Trì, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",50 m2,2,2,Sổ hồng,20/03/2023,690 triệu
21234521," Chùa Bộc, Phường Trung Tự, Quận Đống Đa, Hà Nội",33 m2,2,1,Sổ đỏ,20/03/2023,670 triệu
22019251," Trần Trọng Cung, Phường Tân Thuận Đông, Quận 7, TPHCM",82 m2,2,2,Sổ hồng,20/03/2023,2 tỷ 750 triệu
22050047," Nguyễn Cơ Thạch, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",60 m2,2,2,Sổ đỏ,20/03/2023,2 tỷ 200 triệu
21881186," Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, TPHCM",94 m2,2,2,Sổ hồng,20/03/2023,6 tỷ 800 triệu
22015941," Phạm Văn Đồng, Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, Hà Nội",48 m2,2,2,Sổ hồng,20/03/2023,700 triệu
21234515," Xã Đàn, Phường Nam Đồng, Quận Đống Đa, Hà Nội",44 m2,2,2,Sổ đỏ,20/03/2023,660 triệu
22050052," Nguyễn Cơ Thạch, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",60 m2,2,2,Sổ đỏ,20/03/2023,2 tỷ 200 triệu
22054902," Đường D1, Phường 25, Quận Bình Thạnh, TPHCM",70 m2,2,1,Sổ hồng,20/03/2023,4 tỷ 499 triệu
22019235," Nguyễn Lương Bằng, Phường Phú Mỹ, Quận 7, TPHCM",55 m2,1,1,Hợp đồng mua bán,20/03/2023,3 tỷ 550 triệu
22018074," Xuân La, Phường Xuân La, Quận Tây Hồ, Hà Nội",50 m2,2,2,Sổ hồng,20/03/2023,700 triệu
21967526," Mai Chí Thọ, Phường Thủ Thiêm, Quận 2 (TP. Thủ Đức), TPHCM",114 m2,3,2,Hợp đồng mua bán,20/03/2023,9 tỷ 500 triệu
21230173," Liễu Giai, Phường Ngọc Hà, Quận Ba Đình, Hà Nội",32 m2,1,1,Sổ đỏ,20/03/2023,690 triệu
22046240," Nguyễn Cơ Thạch, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",63 m2,2,1,Sổ hồng,20/03/2023,2 tỷ 150 triệu
22018065," Nguyễn Chí Thanh, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội",50 m2,2,2,Sổ hồng,20/03/2023,650 triệu
21220675," Hoàng Hoa Thám, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",50 m2,2,1,Sổ đỏ,20/03/2023,880 triệu
22050094," Nguyễn Cơ Thạch, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",110 m2,3,2,Sổ hồng,20/03/2023,3 tỷ 450 triệu
22016722," Nguyễn Văn Tưởng, Phường Tân Phú, Quận 7, TPHCM",91 m2,2,2,Hợp đồng mua bán,20/03/2023,5 tỷ 300 triệu
22018062," Thụy Khuê, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",50 m2,2,2,Sổ đỏ,20/03/2023,650 triệu
21213096," Xuân Đỉnh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",51 m2,2,1,Sổ đỏ,20/03/2023,589 triệu 999 nghìn
22043914," Lưu Hữu Phước, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội",90 m2,3,2,Sổ đỏ,20/03/2023,2 tỷ 550 triệu
22018060," Định Công, Phường Định Công, Quận Hoàng Mai, Hà Nội",50 m2,2,2,Sổ hồng,20/03/2023,800 triệu
21212485," Hoàng Hoa Thám, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",46 m2,2,1,Sổ đỏ,20/03/2023,660 triệu
22039794," Trần Quý Kiên, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội",80 m2,2,2,Sổ đỏ,20/03/2023,2 tỷ 599 triệu
21984691," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM","84,1 m2",2,2,Sổ hồng,20/03/2023,4 tỷ 650 triệu
22018059," Trường Chinh, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",50 m2,2,2,Sổ hồng,20/03/2023,800 triệu
21208913," Tôn Đức Thắng, Phường Hàng Bột, Quận Đống Đa, Hà Nội",42 m2,2,2,Sổ hồng,20/03/2023,710 triệu
22039749," Mễ Trì, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",86 m2,2,2,Sổ đỏ,20/03/2023,2 tỷ 450 triệu
22013662," Nguyễn Văn Linh, Phường Tân Phú, Quận 7, TPHCM",106 m2,3,2,Hợp đồng mua bán,20/03/2023,7 tỷ 800 triệu
22063936," Lê Đại Hành, Phường 15, Quận 11, TPHCM",87 m2,3,2,Sổ hồng,20/03/2023,6 tỷ 100 triệu
22018053," Nguyễn Trãi, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội",46 m2,2,2,Sổ hồng,20/03/2023,681 triệu
21203324," Liễu Giai, Phường Liễu Giai, Quận Ba Đình, Hà Nội",50 m2,2,1,Sổ hồng,20/03/2023,680 triệu
22011555," Nguyễn Văn Linh, Phường Tân Phú, Quận 7, TPHCM",106 m2,3,2,Hợp đồng mua bán,20/03/2023,7 tỷ 800 triệu
22015899," Trần Bình, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",47 m2,2,2,Sổ hồng,20/03/2023,630 triệu
